,G,AB,SO,SF,HBP,IBB,SH,BB,R,H,SB,RBI,HR,2B,3B,W,SHO,CG,SV,SO,HRA,HA,ER,IP,ERA,HOF
albercy01,4,7,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,10,1,35,19,83,6.18072289156626,0
albergu01,120,426,5,0,9,0,0,52,62,84,27,50,1,10,6,0,0,0,0,0,0,0,0,0,NA,0
alberha01,41,99,17,0,0,0,3,2,12,22,1,4,0,2,1,0,0,0,0,0,0,0,0,0,NA,0
alberjo01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,77,48,175,7.40571428571429,0
alberma01,394,34,21,0,0,0,3,0,0,2,0,0,0,0,0,27,0,0,0,389,53,551,258,1658,4.20144752714113,0
albosed01,19,12,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,4,52,36,158,6.15189873417722,0
albreed01,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,7,7,35,5.4,0
albrija01,41,99,11,0,0,0,3,10,9,23,1,5,2,4,0,0,0,0,0,0,0,0,0,0,NA,0
albural01,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,276,16,175,80,675,3.2,0
alburvi01,102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,6,1,193,36,338,170,1118,4.10554561717352,0
alcalsa01,68,71,41,0,0,0,7,2,6,8,0,4,1,1,0,14,1,3,2,140,25,257,132,748,4.76470588235294,0
alcanar01,81,304,104,2,2,0,2,22,36,59,9,30,10,11,2,0,0,0,0,0,0,0,0,0,NA,0
alcanis01,51,115,26,0,0,0,0,6,15,31,1,15,6,3,0,0,0,0,0,0,0,0,0,0,NA,0
alcarlu01,115,365,58,2,0,2,2,21,30,70,2,29,4,9,2,0,0,0,0,0,0,0,0,0,NA,0
alcocsc01,54,156,14,0,1,0,5,7,12,27,4,7,0,4,2,0,0,0,0,0,0,0,0,0,NA,0
alderda01,16,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,52,26,107,6.5607476635514,0
aldremi01,930,2147,381,18,5,29,14,314,277,565,19,271,41,104,9,0,0,0,0,0,0,1,0,3,0,0
aldresc01,229,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,1,312,78,581,334,1499,6.01601067378252,0
aldrico01,13,18,9,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
aldrija01,62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,46,12,119,57,326,4.72085889570552,0
aldrivi01,248,581,41,0,0,0,32,10,46,133,2,60,2,14,4,97,8,102,6,526,87,1671,668,4802,3.75593502707205,0
alenoch01,118,320,35,0,1,0,4,31,34,67,3,34,2,11,3,0,0,0,0,0,0,0,0,0,NA,0
alexabo01,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,18,13,33,10.6363636363636,0
alexada01,662,2450,197,0,6,0,32,248,369,811,20,459,61,164,30,0,0,0,0,0,0,0,0,0,NA,0
alexado01,562,265,77,2,1,0,23,9,19,44,0,17,0,8,0,194,18,98,3,1528,324,3376,1406,10103,3.75749777293873,0
alexaga01,432,1276,381,19,5,12,4,154,169,293,8,202,55,45,11,0,0,0,0,0,0,0,0,0,NA,0
alexage01,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,59,12,112,63,294,5.78571428571429,0
alexahu01,7,11,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
alexama01,374,168,26,0,1,1,8,18,111,36,103,4,0,4,2,0,0,0,0,0,0,0,0,0,NA,0
alexama02,594,1271,276,4,7,7,19,86,166,293,37,115,15,50,12,0,0,0,0,0,1,1,5,2,67.5,0
alexani01,20,69,0,0,0,0,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
alexape01,703,1810,276,0,2,0,88,77,154,378,3,163,11,60,13,373,90,437,32,2198,164,4868,1476,15570,2.55953757225434,0
